Feb 21, 0310 PST
Current validators of subnet 18 sorted by their stakes:
Rank: 110, UID: 196, Stake: 1.9961729049682617 tao
Rank: 111, UID: 138, Stake: 1.991776943206787 tao
Rank: 112, UID: 234, Stake: 1.9778409004211426 tao
Rank: 113, UID: 128, Stake: 1.9687914848327637 tao
Rank: 114, UID: 49, Stake: 1.9637447595596313 tao
Rank: 115, UID: 28, Stake: 1.9504282474517822 tao
Rank: 116, UID: 32, Stake: 1.8310667276382446 tao
Rank: 117, UID: 129, Stake: 1.8175829648971558 tao
Rank: 118, UID: 86, Stake: 1.765497088432312 tao
Rank: 119, UID: 217, Stake: 1.7042757272720337 tao
Rank: 120, UID: 83, Stake: 1.6919639110565186 tao
Rank: 121, UID: 181, Stake: 1.6856622695922852 tao
Rank: 122, UID: 193, Stake: 1.3844428062438965 tao
Rank: 123, UID: 223, Stake: 1.3798558712005615 tao
Rank: 124, UID: 116, Stake: 1.3752007484436035 tao
Rank: 125, UID: 10, Stake: 1.348738670349121 tao
Rank: 126, UID: 92, Stake: 1.1310209035873413 tao
Rank: 127, UID: 208, Stake: 1.12516450881958 tao
Rank: 128, UID: 84, Stake: 1.120172142982483 tao
Rank: 129, UID: 168, Stake: 1.116258144378662 tao
Rank: 130, UID: 71, Stake: 1.1036837100982666 tao
Rank: 131, UID: 30, Stake: 1.098537802696228 tao
Rank: 132, UID: 31, Stake: 1.0959677696228027 tao
Rank: 133, UID: 191, Stake: 1.078453540802002 tao
Rank: 134, UID: 133, Stake: 1.073337435722351 tao
Rank: 135, UID: 36, Stake: 1.0701836347579956 tao
Rank: 136, UID: 115, Stake: 1.0688021183013916 tao
Rank: 137, UID: 18, Stake: 1.060083031654358 tao
Rank: 138, UID: 156, Stake: 1.0600804090499878 tao
Rank: 139, UID: 173, Stake: 1.0590124130249023 tao
Rank: 140, UID: 121, Stake: 0.964004635810852 tao
Rank: 141, UID: 185, Stake: 0.9625298380851746 tao
Rank: 142, UID: 176, Stake: 0.767406165599823 tao
Rank: 143, UID: 197, Stake: 0.7659507393836975 tao
Rank: 144, UID: 44, Stake: 0.7519926428794861 tao
Rank: 145, UID: 122, Stake: 0.6952288150787354 tao
Rank: 146, UID: 118, Stake: 0.6890864372253418 tao
Rank: 147, UID: 114, Stake: 0.6747499704360962 tao
Rank: 148, UID: 111, Stake: 0.663785457611084 tao
Rank: 149, UID: 189, Stake: 0.6248446702957153 tao
Rank: 150, UID: 126, Stake: 0.6153396368026733 tao
Rank: 151, UID: 39, Stake: 0.5857835412025452 tao
Rank: 152, UID: 65, Stake: 0.5785433650016785 tao
Rank: 153, UID: 190, Stake: 0.5770964622497559 tao
Rank: 154, UID: 68, Stake: 0.569926381111145 tao
Rank: 155, UID: 15, Stake: 0.5351693630218506 tao
Rank: 156, UID: 34, Stake: 0.5339104533195496 tao
Rank: 157, UID: 106, Stake: 0.5338459014892578 tao
Rank: 158, UID: 46, Stake: 0.5317767858505249 tao
Rank: 159, UID: 88, Stake: 0.5278028845787048 tao
Rank: 160, UID: 64, Stake: 0.5275440216064453 tao
Rank: 161, UID: 209, Stake: 0.5230613350868225 tao
Rank: 162, UID: 51, Stake: 0.521690309047699 tao
Rank: 163, UID: 12, Stake: 0.5186069011688232 tao
